details_id,job_ids,company_Name,designations,industry,employees_count,linkedin_followers,involvement,level,total_applicants,City,State
294,3953798624,IBM,Process Analyst - Claims,Marketing,100,0,Full-time,Associate,36,Noida, Uttar Pradesh
295,3978087743,Wipro,Business Analyst Insurance Domain,Marketing,100,0,Full-time,Entry level,10,Bengaluru, Karnataka
296,3973300799,NR Consulting,Data Engineer - Python,IT Services and IT Consulting,10001,389436,Full-time,Mid-Senior level,85,Pune, Maharashtra
297,3975707093,Tata Consultancy Services,Kinaxis RapidResponse,Financial Services,10001,2222901,Full-time,Mid-Senior level,130,Mumbai, Maharashtra
298,3978004422,Infosys BPM,Senior Process Executive,Financial Services,10001,1935744,Full-time,Full-time,25,Pune, Maharashtra
299,3976164064,Kyndryl,Business Analyst,Advertising Services,1000,17226,Full-time,Associate,180,Bengaluru, Karnataka
300,3948213292,American Express,Analyst-Data Science,IT Services and IT Consulting,10001,355269,Full-time,Entry level,25,Gurugram, Haryana
301,3973931765,BlackRock,"Analyst, Client Data Management",IT Services and IT Consulting,50,317,Full-time,Mid-Senior level,0,Gurgaon, Haryana
302,3971722070,Virtusa,Data Modelling,Business Consulting and Services,50,184550,Hybrid,Full-time,91,Pune, Maharashtra
303,3974237153,Havas Media Network India,Data Engineer,Business Consulting and Services,50,184550,Hybrid,Full-time,66,Bengaluru East, Karnataka
304,3973973778,Capita,Executive - Customer Services,IT Services and IT Consulting,10001,651588,Full-time,Mid-Senior level,0,Pune, Maharashtra
305,3977260299,Maimsd Technology,Data Engineer - SQL/Python,Financial Services,1000,1720,Full-time,Associate,44,Bengaluru East, Karnataka
306,3973532344,YO HR Consultancy,Data Scientist/Analyst-Remote,Financial Services,5000,148080,Full-time,Full-time,24,Bengaluru, Karnataka
307,3973532343,YO HR Consultancy,Data Scientist/Analyst-Remote,IT Services and IT Consulting,10001,15502668,Full-time,Mid-Senior level,137,Gurugram, Haryana
308,3978004476,NTT DATA North America,Software Development Specialist,IT Services and IT Consulting,10001,15502668,Full-time,Associate,160,Noida, Uttar Pradesh
309,3977912599,Tradu,Quantitative Risk Analyst,IT Services and IT Consulting,5000,179957,Full-time,Mid-Senior level,21,Hyderabad, Telangana
310,3976173289,DWS Group,Operations Analyst- FX Confirmation,Restaurants,10001,173433,Full-time,Mid-Senior level,134,Pune, Maharashtra
311,3974352144,Tata Consultancy Services,Presales Solution Architect (Digital Workplace),Financial Services,10000,62725,Full-time,Full-time,185,Bengaluru, Karnataka
312,3973531333,Tata Consultancy Services,CEM Solution Architect,Marketing,100,0,Full-time,Entry level,0,Mumbai, Maharashtra
313,3973312572,Jade Global,Azure Solution Architecture,IT Services and IT Consulting,10001,9050682,Full-time,Mid-Senior level,171,Pune, Maharashtra
314,3973050229,Inspire,Data Product Analyst [T500-12035],IT Services and IT Consulting,5000,272721,Full-time,Full-time,0,Hyderabad, Telangana
315,3969551863,Equiniti,MI Data Analyst,IT Services and IT Consulting,5000,17649,Full-time,Entry level,9,Chennai, Tamil Nadu
316,3971074168,PropChk,PROPCHK - Data Analyst - Tableau/Power BI,IT Services and IT Consulting,10001,15502677,Full-time,Associate,121,Hyderabad, Telangana
317,3974074251,Infosys,Oil and Gas Consultant,Software Development,10001,33556844,Full-time,Full-time,114,Bengaluru, Karnataka
318,3966871432,PureSoftware Ltd,Data Engineer,Pharmaceutical Manufacturing,10001,1990588,Full-time,Full-time,23,Bengaluru, Karnataka
319,3977532777,MassMutual India,Data Modeler,Financial Services,10001,2350278,Full-time,Associate,47,Hyderabad, Telangana
320,3975926602,Tata Consultancy Services,Python Developer,IT Services and IT Consulting,1000,45646,Full-time,Mid-Senior level,199,Bengaluru, Karnataka
321,3975940957,Google,"Program Manager, Counter Abuse, Google Photos, Google One","Transportation, Logistics, Supply Chain and Storage",10001,1927328,Full-time,Full-time,85,Bengaluru, Karnataka
322,3971918627,Novo Nordisk,Associate Business Analyst,Business Consulting and Services,5000,284829,Full-time,Mid-Senior level,119,Bengaluru, Karnataka
323,3974754304,Wells Fargo,Product Analyst,Business Consulting and Services,10001,589487,Full-time,Mid-Senior level,144,Hyderabad, Telangana
324,3972702963,Yethi Consulting,Business Analyst,IT Services and IT Consulting,10000,586712,Full-time,Entry level,36,Mumbai, Maharashtra
325,3975684833,A.P. Moller - Maersk,Associate Financial Analyst,IT Services and IT Consulting,200,8155,Full-time,Full-time,48,Pune, Maharashtra
326,3974887246,Helius Technologies,Insurance Business Analyst,IT Services and IT Consulting,500,1956,Full-time,Full-time,38,Hyderabad, Telangana
327,3971792932,Tredence Inc.,Presales Solutions Architect,Financial Services,200,3492,Full-time,Full-time,104,Bengaluru, Karnataka
328,3974797676,Quess Corp Limited,Business Analyst - Capital Market,Financial Services,50,87,Full-time,Full-time,40,Mumbai, Maharashtra
329,3977537448,Hitachi Vantara,Training & Development Associate,IT Services and IT Consulting,10001,446369,Full-time,Entry level,72,Hyderabad, Telangana
330,3977232931,Arthya Tech Solutions,Wonderware developer,Retail,50,910,Full-time,Full-time,84,Bengaluru, Karnataka
331,3971166821,GA Software Technologies Pvt. Ltd.,Sales Executive,IT Services and IT Consulting,5000,17649,Full-time,Entry level,15,Bengaluru, Karnataka
332,3975168605,AC Agarwal,Branch Manager,Machinery Manufacturing,50,1533,Full-time,Full-time,173,Mumbai, Maharashtra
333,3978078390,TradeMax Capital,Senior Sales Executive,Industrial Machinery Manufacturing,200,600,Full-time,Full-time,132,Hyderabad, Telangana
334,3973109841,Conduent,Technical Business Analysis Engineer I,Retail,50,910,Full-time,Full-time,98,Noida, Uttar Pradesh
335,3976684432,EYESENSE OPTICIANS,Optometrist,Retail,50,910,Full-time,Full-time,71,Bengaluru, Karnataka
336,3973907200,MassMutual India,Data Operations Associate /Sr Associate,Marketing,100,0,Full-time,Full-time,76,Hyderabad, Telangana
337,3971143588,Mahisa Packaging Systems LLP,Sales Engineer,Marketing,100,0,Full-time,Full-time,73,Mumbai, Maharashtra
338,3972898597,URL Aseptic Automation Inc.,Senior Dotnet Developer,Marketing,100,0,Full-time,Full-time,184,Ahmedabad, Gujarat
339,3974998681,EYESENSE OPTICIANS,Optometrist cum In-charge,IT Services and IT Consulting,200,9223,Full-time,Mid-Senior level,0,Bengaluru, Karnataka
340,3977253857,EYESENSE OPTICIANS,Optometrist cum Senior sales executive,IT Services and IT Consulting,10001,9409308,Full-time,Full-time,1,Bengaluru, Karnataka
341,3972977040,Raystek Process Instruments llp,Technical Sales Engineer,Business Consulting and Services,10001,4173250,Full-time,Associate,164,Ahmedabad, Gujarat
342,3973901129,adish properties,Telemarketer,Financial Services,10001,2474253,Full-time,Full-time,77,Bengaluru, Karnataka
343,3972857436,Vedhex Private Limited,Magento Developer,Software Development,10001,265049,Full-time,Mid-Senior level,48,Kurla, Maharashtra
344,3971905230,Fusion Plus Solutions Inc,Power BI,Motor Vehicle Manufacturing,10001,1307595,Full-time,Entry level,17,Hyderabad, Telangana
345,3977532670,Amazon Web Services (AWS),"ML Data Associate I, AWS Bedrock",IT Services and IT Consulting,10001,9367513,Full-time,Entry level,0,Chennai, Tamil Nadu
346,3973697427,Genpact,Management Trainee – Python Developer-COR029020,Pharmaceutical Manufacturing,10001,1435021,Full-time,Entry level,35,Gurugram, Haryana
347,3977310758,Deutsche Bank,Intern,Pharmaceutical Manufacturing,10001,1435021,Full-time,Entry level,22,Pune, Maharashtra
348,3936688041,Trimble Inc.,Business Intelligence Analyst,Pharmaceutical Manufacturing,10001,1435021,Full-time,Entry level,23,Hyderabad, Telangana
349,3976883210,Renault Group,Process Analyst / Officer,IT Services and IT Consulting,5000,51003,Full-time,Full-time,10,Chennai, Tamil Nadu
350,3977857407,Wipro,Analyst,IT Services and IT Consulting,500,6650,Full-time,Mid-Senior level,47,Mumbai, Maharashtra
351,3974773877,Bristol Myers Squibb,Decision Analyst I,Consumer Services,200,25048,Internship,Internship,0,Hyderabad, Telangana
352,3974776510,Bristol Myers Squibb,Decision Analyst I,IT Services and IT Consulting,1000,68827,Full-time,Director,67,Hyderabad, Telangana
353,3978097099,Bristol Myers Squibb,Decision Analyst I,IT Services and IT Consulting,1000,150057,Full-time,Associate,134,Hyderabad, Telangana
354,3975188420,Syniverse,System Analyst Technology,Financial Services,10001,2474259,Full-time,Full-time,64,Bengaluru, Karnataka
355,3972735528,Syndrome NewEdge,Presales Solutions Architect,Pharmaceutical Manufacturing,10001,1435021,Full-time,Entry level,20,Mumbai, Maharashtra
356,3955909911,Supertails,Data Analytics Internship in Bangalore,IT Services and IT Consulting,200,27446,Full-time,Full-time,181,Bengaluru, Karnataka
357,3932410197,Anblicks,Data Architect,E-learning,10000,564105,Full-time,Mid-Senior level,147,Hyderabad, Telangana
358,3902062049,Tekskills Inc.,Business Development Manager,IT Services and IT Consulting,500,19103,Full-time,Mid-Senior level,29,Bengaluru, Karnataka
359,3974291046,Deutsche Bank,"Reference Data Analyst, NCT",IT Services and IT Consulting,500,65065,Full-time,Mid-Senior level,176,Bengaluru, Karnataka
